Your Estimate
Service Type,Components,Region,Component Price,Service Price
Amazon S3 Service (Europe (Paris)),,,,$0.13
,S3 Standard Storage:,Europe (Paris),$0.12
,S3 Standard Put Requests:,Europe (Paris),$0.01
Amazon Route 53 Service,,,,$0.5
,Hosted Zones:,Global,$0.5
Amazon CloudFront Service,,,,$2.52
,Data Transfer Out:,Global,$2.48
,Requests:,Global,$0.04
AWS Support (Basic),,,,$0
,Support for all AWS services:,,$0
,,Total Monthly Payment:,,$3.15
